,renda mensal per capita,freezer,V2103,V2105,V2107,V2109,deixou de ter alimentos saudaveis,nao comeu suficiente,diminiui quantidade de alimento,deixou de fazer refeicao,sentiu fome,menos de uma refeicao/dia
2691,1.0,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
2700,3.0,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
2704,2.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2707,2.0,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
2719,2.0,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2720,2.0,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não
2723,1.0,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
2729,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não
2730,3.0,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
2740,3.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não
2749,2.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
2750,3.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
2751,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2754,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
2756,4.0,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não
2758,5.0,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
2762,2.0,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
2766,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
2767,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
2772,4.0,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não
2773,3.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
2812,2.0,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não
2827,3.0,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
2834,2.0,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
2859,1.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
2862,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
2864,2.0,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
2893,0.0,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não
